Country,Subject Descriptor,Units,Scale,"Country/Series-specific Notes",2019,2020,2021
Tunisia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.02,-5.241,3.087
Tunisia,"Inflation, average consumer prices",Percent change,,,6.722,6.162,4.897
Tunisia,"Inflation, end of period consumer prices",Percent change,,,6.078,5.951,4.801
Tunisia,Unemployment rate,Percent of total labor force,,,14.889,n/a,n/a
Tunisia,General government net lending/borrowing,Percent of GDP,,,-3.892,-4.3,-2.5
Tunisia,Current account balance,Percent of GDP,,,-8.796,-7.496,-8.125
Turkey,"Gross domestic product, constant prices",Percent change,,,0.937,-4.998,5.003
Turkey,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"2,361.78","2,257.99","2,417.19"
Turkey,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.46,-6.148,3.759
Turkey,"Inflation, average consumer prices",Percent change,,,15.177,12,12
Turkey,"Inflation, end of period consumer prices",Percent change,,,11.836,12,12
Turkey,Unemployment rate,Percent of total labor force,,,13.709,17.2,15.567
Turkey,General government net lending/borrowing,Percent of GDP,,,-5.261,-7.476,-6.714
Turkey,Current account balance,Percent of GDP,,,1.066,0.386,-0.182
Turkmenistan,"Gross domestic product, constant prices",Percent change,,,6.347,1.845,6.376
Turkmenistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,121.848,124.884,135.437
Turkmenistan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,4.775,0.348,5.328
Turkmenistan,"Inflation, average consumer prices",Percent change,,,5.092,8,6
Turkmenistan,"Inflation, end of period consumer prices",Percent change,,,6.267,8,6
Turkmenistan,General government net lending/borrowing,Percent of GDP,,,-0.259,-2.258,-0.485
Turkmenistan,Current account balance,Percent of GDP,,,5.065,-1.443,-0.41
Tuvalu,"Gross domestic product, constant prices",Percent change,,,6,-0.953,3.537
Tuvalu,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.049,0.049,0.052
Tuvalu,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.588,-1.337,3.134
Tuvalu,"Inflation, average consumer prices",Percent change,,,2.177,1.876,2.62
Tuvalu,"Inflation, end of period consumer prices",Percent change,,,2.177,1.876,2.62
Tuvalu,General government net lending/borrowing,Percent of GDP,,,-8.601,-25.464,-18.476
Tuvalu,Current account balance,Percent of GDP,,,25.624,-11.234,-23.954
Uganda,"Gross domestic product, constant prices",Percent change,,,4.92,3.52,4.254
Uganda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,118.694,123.653,131.426
Uganda,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,2.285,0.007,1.214
Uganda,"Inflation, average consumer prices",Percent change,,,2.869,3.937,4.848
Uganda,"Inflation, end of period consumer prices",Percent change,,,3.558,3.936,4.35
Uganda,General government net lending/borrowing,Percent of GDP,,,-6.744,-6.811,-6.598
Uganda,Current account balance,Percent of GDP,,,-9.503,-9.678,-8.063
Ukraine,"Gross domestic product, constant prices",Percent change,,,3.173,-7.731,3.565
Ukraine,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,409.825,380.545,401.794
Ukraine,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.74,-7.36,3.981
Ukraine,"Inflation, average consumer prices",Percent change,,,7.886,4.521,7.181
Ukraine,"Inflation, end of period consumer prices",Percent change,,,4.054,7.676,5.894
Ukraine,Unemployment rate,Percent of total labor force,,,8.531,10.053,9.318
Ukraine,General government net lending/borrowing,Percent of GDP,,,-2.045,-8.207,-5.25
Ukraine,Current account balance,Percent of GDP,,,-0.693,-2.015,-2.364
United Arab Emirates,"Gross domestic product, constant prices",Percent change,,,1.292,-3.492,3.273
United Arab Emirates,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,744.092,722.67,760.874
United Arab Emirates,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.71,-6.353,0.21
United Arab Emirates,"Inflation, average consumer prices",Percent change,,,-1.931,-1,1.5
United Arab Emirates,"Inflation, end of period consumer prices",Percent change,,,-1.931,-1,1.5
United Arab Emirates,General government net lending/borrowing,Percent of GDP,,,-0.814,-11.128,-7.095
United Arab Emirates,Current account balance,Percent of GDP,,,7.365,1.52,4.093
United Kingdom,"Gross domestic product, constant prices",Percent change,,,1.409,-6.502,4.035
United Kingdom,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"3,162.41","2,975.56","3,155.97"
United Kingdom,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.754,-7.041,3.484
United Kingdom,"Inflation, average consumer prices",Percent change,,,1.791,1.186,1.545
United Kingdom,"Inflation, end of period consumer prices",Percent change,,,1.415,1.018,1.945
United Kingdom,Unemployment rate,Percent of total labor force,,,3.825,4.825,4.375
United Kingdom,General government net lending/borrowing,Percent of GDP,,,-2.08,-8.31,-5.473
United Kingdom,Current account balance,Percent of GDP,,,-3.782,-4.38,-4.48
United States,"Gross domestic product, constant prices",Percent change,,,2.334,-5.907,4.739
United States,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"21,427.68","20,289.99","21,665.90"
United States,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,1.842,-6.435,4.135
United States,"Inflation, average consumer prices",Percent change,,,1.812,0.62,2.238
United States,"Inflation, end of period consumer prices",Percent change,,,1.902,0.784,2.417
United States,Unemployment rate,Percent of total labor force,,,3.667,10.36,9.135
United States,General government net lending/borrowing,Percent of GDP,,,-5.782,-15.448,-8.643
United States,Current account balance,Percent of GDP,,,-2.326,-2.634,-2.758
Uruguay,"Gross domestic product, constant prices",Percent change,,,0.222,-3,5
Uruguay,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,82.791,80.817,86.512
Uruguay,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.136,-3.34,4.641
Uruguay,"Inflation, average consumer prices",Percent change,,,7.882,8.794,7.87
Uruguay,"Inflation, end of period consumer prices",Percent change,,,8.788,8,7.5
Uruguay,Unemployment rate,Percent of total labor force,,,9.42,10.546,8.098
Uruguay,General government net lending/borrowing,Percent of GDP,,,-2.933,-4.699,-3.807
Uruguay,Current account balance,Percent of GDP,,,0.226,-2.491,-3.099
Uzbekistan,"Gross domestic product, constant prices",Percent change,,,5.6,1.8,7
Uzbekistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,303.317,310.738,338.973
Uzbekistan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,3.699,-0.152,5.211
Uzbekistan,"Inflation, average consumer prices",Percent change,,,14.53,12.61,10.61
Uzbekistan,"Inflation, end of period consumer prices",Percent change,,,15.234,11.214,9.125
Uzbekistan,General government net lending/borrowing,Percent of GDP,,,0.015,-3.305,-1.327
Uzbekistan,Current account balance,Percent of GDP,,,-5.604,-9.429,-6.354
Vanuatu,"Gross domestic product, constant prices",Percent change,,,2.91,-3.269,4.855
Vanuatu,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,0.851,0.829,0.886
Vanuatu,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,0.596,-5.444,2.497
Vanuatu,"Inflation, average consumer prices",Percent change,,,2.098,1.818,1.773
Vanuatu,"Inflation, end of period consumer prices",Percent change,,,2.296,1.568,1.977
Vanuatu,General government net lending/borrowing,Percent of GDP,,,5.273,-13.666,-4.841
Vanuatu,Current account balance,Percent of GDP,,,7.24,-10.928,-5.595
Venezuela,"Gross domestic product, constant prices",Percent change,,,-35,-15,-5
Venezuela,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,202.009,n/a,n/a
Venezuela,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-32.135,n/a,n/a
Venezuela,"Inflation, average consumer prices",Percent change,,,"19,906.02","15,000.00","15,000.00"
Venezuela,"Inflation, end of period consumer prices",Percent change,,,"9,585.49","15,000.00","15,000.00"
Venezuela,General government net lending/borrowing,Percent of GDP,,,-10.007,n/a,n/a
Venezuela,Current account balance,Percent of GDP,,,9.825,2.41,3.41
Vietnam,"Gross domestic product, constant prices",Percent change,,,7.017,2.7,7
Vietnam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"1,001.48","1,035.05","1,129.10"
Vietnam,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,5.987,1.728,6.004
Vietnam,"Inflation, average consumer prices",Percent change,,,2.797,3.2,3.9
Vietnam,"Inflation, end of period consumer prices",Percent change,,,5.237,2,4.3
Vietnam,Unemployment rate,Percent of total labor force,,,2.21,n/a,n/a
Vietnam,General government net lending/borrowing,Percent of GDP,,,-3.302,-5.154,-4.084
Vietnam,Current account balance,Percent of GDP,,,3.993,0.727,1.044
Yemen,"Gross domestic product, constant prices",Percent change,,,2.1,-3,6.101
Yemen,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,72.133,70.414,76.167
Yemen,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-0.584,-5.458,3.513
Yemen,"Inflation, average consumer prices",Percent change,,,10,26.7,5
Yemen,"Inflation, end of period consumer prices",Percent change,,,6.2,46,5
Yemen,General government net lending/borrowing,Percent of GDP,,,-3.823,-7.974,-8.082
Yemen,Current account balance,Percent of GDP,,,-7.431,-2.806,-5.983
Zambia,"Gross domestic product, constant prices",Percent change,,,1.52,-3.507,2.349
Zambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,75.857,73.662,76.862
Zambia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-1.517,-6.374,-0.67
Zambia,"Inflation, average consumer prices",Percent change,,,9.8,13.4,12.05
Zambia,"Inflation, end of period consumer prices",Percent change,,,11.7,12.7,11.4
Zambia,General government net lending/borrowing,Percent of GDP,,,-7.598,-5.713,-6.903
Zambia,Current account balance,Percent of GDP,,,0.969,-1.997,-2.592
Zimbabwe,"Gross domestic product, constant prices",Percent change,,,-8.276,-7.383,2.516
Zimbabwe,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,39.739,37.039,38.711
Zimbabwe,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,,-9.899,-9.113,0.511
Zimbabwe,"Inflation, average consumer prices",Percent change,,,255.292,319.036,3.7
Zimbabwe,"Inflation, end of period consumer prices",Percent change,,,521.15,154.297,3
Zimbabwe,General government net lending/borrowing,Percent of GDP,,,-2.575,-4.931,-1.518
Zimbabwe,Current account balance,Percent of GDP,,,1.133,-1.914,-1.894
